;marca;preco
249;Kit Upgrade Intel I3 10100f / Placa Mãe Gigabyte H510m H Ddr4;R$ 1.356,56
250;Kit Upgrade, AMD Ryzen 5 4600G, Placa Mãe A320m Prime Asus, Neologic - NLI84046;R$ 1.634,80
251;Kit Upgrade Intel I5 10400f / Placa Mãe Gigabyte H510m H Ddr4;R$ 1.808,33
252;Kit Upgrate AMD Ryzen 5 5600G, Placa Mãe A520m, Mem DDR4 16GB;R$ 2.656,00
253;Cooler Akasa Para Chipset De Placa Mãe, Baixo Ruído, AK-210-BK;R$ 39,59
254;Kit Upgrade AMD Ryzen 5, 5600g, Placa Mãe Gigabyte A320m S2h DDR4, Memória DDR4 16GB 2x8, 3200mhz;R$ 2.535,74
255;Kit Upgrade Deutel Pc AMD Ryzen 3 4100 + Placa Mãe AM4 A320m DDR4;R$ 1.448,00
256;Kit Upgrade Amd Ryzen 3 4350g, Placa Mãe A320m Prime Asus, Neologic - Nli83901;R$ 1.581,02
257;Kit Upgrade, Intel Core i3-3220 + Placa mãe H61 + Cooler Universal;R$ 799,00
258;Kit Upgrade AMD Ryzen 5 5600g, Placa Mãe Gigabyte A320m S2h DDR4;R$ 1.959,51
259;Kit Upgrade Amd Ryzen 5 4600g, Placa Mãe A320m Prime Asus, 8gb Ddr4, Neologic - Nli84044.;R$ 1.849,90
260;Kit Upgrade Amd Ryzen 5 5600g, Placa Mãe Gigabyte A320m, S2h, DDR4, Memória DDR4, 8GB, 3200mhz;R$ 2.127,20
261;Kit Placa Mãe H61 + Proc I3 2100 + Memoria 4GB, DDR3 + Cooler + SSD 240;R$ 699,99
262;Kit Placa Mãe H81 + Processador I3 4130 + Memoria 4GB DDR3 + Cooler;R$ 679,99
263;Kit Placa Mãe H81 + Proc I3 4130 + Memoria 8GB DDR3 + Cooler + SSD 480;R$ 999,99
264;Kit Placa Mãe H61 + Proc I5 2400 + Memoria 8Gb DDR3 + Cooler + SSD 240;R$ 802,63
265;Kit Placa Mãe H61 + Processador I3 3220 + Mem 8Gb DDR3 + Cooler+ SSD 240;R$ 792,79
266;Kit Upgrade Processador Intel® Core™ I3 10100f + Placa Mãe Gigabyte H510m-h  + Memória 8gb Ddr4;R$ 1.610,39
267;Kit Upgrade: Processador Intel Core i5 3470 3a Geração + Placa Mãe H61, Memória 4GB DDR3 + Cooler 1155;R$ 663,10
268;Cabo Extensor 24 Pinos 20 + 4 Pinos - Para Placa Mãe - 40cm - Akasa Flexa P24 Ak-cbpw06-40bk;R$ 80,07
269;Kit Upgrade Processador Intel Core I7 10700f + Placa Mãe Gigabyte H510m-h + Memória 8gb Ddr4;R$ 3.141,59
270;Kit Upgrade Processador Amd Ryzen 7 5800x + Placa Mãe Gigabyte  B550m Aorus Elite + Memória 8gb Ddr4;R$ 4.320,79
271;Kit Upgrade AMD Cardinal Zen2 Processador AMD Ryzen 7, 4700s, Memória RAM 16GB DDR4 + Placa Mãe - 100-900000005;R$ 1.131,21
272;Bateria Cr2032 Lithium 3v - Miracell - Tipo Moeda - Para Placa Mãe, Alarmes Automotivos E Relógios;R$ 3,61
273;Kit Intel Placa Mãe Asus I7 8700, Memória 32GB DDR4;R$ 3.090,00
274;Kit 1156, Placa Mãe H55, Processador I3, DDR3 4GB;R$ 689,00
275;Kit Intel Placa Mãe Asus I7 8700, Memória 16GB DDR4;R$ 2.680,00
276;Kit Pc. Intel I3, 2100 Placa Mãe H61 Afox, 16gb Ddr3, Smart Pc - Smt84054.;R$ 707,40
277;Kit Placa Mãe Desk 151 Bpc-h110m-d4 I5 6º Geração E Cooler;R$ 1.399,00
278;Kit Upgrade Décima Geração Placa Mãe H510m + I3 10100f;R$ 1.350,90
279;Kit Upgrade Intel I5 12400f, Placa Mãe Asus Tuf B660m-plus;R$ 3.020,76
280;Kit Upgrade Amd Ryzen 7 5700g, Placa Mãe A520m-e Prime Asus, Neologic - Nli84114;R$ 2.695,53
281;Kit Upgrade Amd Ryzen 3 4350g, Placa Mãe A320m Prime Asus, 8GB DDR4, Neologic - Nli83899;R$ 1.796,12
282;Kit Upgrade Amd Ryzen 7 5700g, Placa Mãe A520m-e Prime Asus, 8gb Ddr4, Neologic - Nli84112;R$ 2.910,63
283;Kit 775 Placa Mae + Core 2 Duo + Ddr3 4gb;R$ 535,47
284;Kit 1151 Placa Mae H110 + Processador I5 6400 + Ddr4 4gb;R$ 1.859,00
285;Kit 1155 Placa Mae 1155, Processador I5 2400, DDR3 8Gb;R$ 971,07
286;Kit 1155 Placa Mae 1155, Processador I5 3470, DDR3 4GB;R$ 1.017,97
287;Kit 1155 Placa Mae 1155 + Processador I5 2400s + DDR3 4GB OEM;R$ 881,97
288;Kit 1155 Placa Mae 1155 + Processador I3 3240 + Ddr3 4gb;R$ 814,97
289;Cabo Extensor 8 Pinos, Para Alimentação De Placa Mãe De 8 Pinos 45cm, Vermelho, Aerocool - EN54843;R$ 46,63
290;Cabo Extensor 8 Pinos - Para Alimentação De Placa Mãe De 8 Pinos - 45cm - Aerocool En56061;R$ 46,63
291;Kit Upgrade Neologic, Nli83338, Ryzen 5, 4650G , Placa Mae Asus Prime A320m-k.;R$ 1.554,12
292;Kit Upgrade Com Placa Mãe H61 Processador I7 E Cooler;R$ 1.599,00
293;Cooler FAN Rise Mode Galaxy Motherboard 140mm, Led ARGB, 5V - RM-MB-04-5V;R$ 29,99
294;Cooler Fan Rise Mode Galaxy Motherboard, 120mm, ARGB, Preto - RM-MB-01-5V;R$ 34,99
295;Kit Upgrade,Pc, Placa Mãe, 1151 H110 + Intel Pentium G4560.;R$ 1.159,00
296;Kit Upgrade 1200 Placa Mae Gigabyte 1200 + Dual Core G5905 + Ddr4 4gb - OEM;R$ 1.422,97
297;Kit Upgrade 1200 Placa Mae Gigabyte 1200 + Dual Core G5925 + Ddr4 4gb - OEM;R$ 1.516,97
298;Kit Upgrade,1151 Placa Mae ,1151 + Processador I5 7500 + Ddr3 4gb.;R$ 1.811,78
299;Kit Upgrade 1150 Placa Mae 1150 + Processador I5 4590 + Ddr3 4gb - OEM;R$ 1.172,97
300;Kit Upgrade 1200 Placa Mae Gigabyte 1200 + I3 10100 + Ddr4 8gb - OEM;R$ 2.739,97
301;Kit Upgrade 1200 Placa Mae Gigabyte 1200 + I3 10100 + Ddr4 4gb - OEM;R$ 2.359,77
302;Cooler Fan Rise Mode Galaxy Motherboard, 120mm, RGB, Preto - RM-MB-01-12V;R$ 24,99
303;Kit Upgrade Intel I5 10600kf / Placa Mãe Asus Tuf B460m Plus;R$ 3.232,14
304;Kit Upgrade Intel I7-10700, Placa Mãe H410m Com Water Cooler;R$ 4.790,00
305;Kit Upgrade Intel I5 10600kf / Placa Mãe Asus Tuf B460m Plus / Memória Kingston Hyperx 2x8gb 2666mhz;R$ 4.069,40
306;Kit Upgrade, Intel I9-9900k, Placa Mãe H310, Com Water Cooler;R$ 5.599,00
307;Kit Upgrade - Core Duo E7200 + Placa Mãe G41 + 4GB RAM + Cooler;R$ 659,00
308;Kit Upgrade Intel Core I5-3470 Placa Mãe H61 E Cooler;R$ 1.099,00
309;Kit Upgrade, Intel Pentium G4560, Placa Mãe H110m, Com Cooler;R$ 1.599,00
310;Kit Upgrade, Intel Core I7-4770, Placa Mãe Isync H81, E Cooler;R$ 1.599,00
311;Kit Upgrade com Processador Intel Core i5-10400f, Placa Mãe Asus TUF B460m Plus;R$ 2.599,90
312;Kit Processador Intel Core i3-10105 + Placa Mãe ASRock B560M Steel Legend, Intel LGA1200, MATX+ Memória XPG Gammix D30, 8GB, 3200MHz, DDR4;R$ 1.836,00
313;Kit Processador Intel Core i3-10105 + Placa Mãe ASRock B560M-HDV, Intel LGA1200, M-ATX + Memória XPG Spectrix D50, RGB, 8GB, 3000MHz, DDR4;R$ 1.657,50
314;Cabo Extensor 8 Pinos - Para Alimentação De Placa Mãe De 8 Pinos - 45cm - Branco - Aerocool En54850;R$ 46,63
315;Cabo Extensor 8 Pinos - Para Alimentação De Placa Mãe De 8 Pinos - 45 Cm - Aerocool En56078;R$ 46,63
316;Kit Processador Intel Core i3-10105F + Placa Mãe ASRock B560M Pro4, LGA1200, MATX, DDR4 + Memória XPG Spectrix D50, RGB, 8GB, 3200MHz, DDR4;R$ 1.647,30
317;Cabo Extensor 8 Pinos, Para Alimentação De Placa Mãe De 8 Pinos, 45cm, Azul, Aerocool - EN54836;R$ 46,63
318;Kit Upgrade Neologic Nli83340 Ryzen 5 4650G , Placa Mae Asus Prime A320m-k, Memoria Neologic 16GB,  2x8GB  3000mhz - Nl8GB;R$ 1.984,34
319;Kit Upgrade, Processador AMD Ryzen 5 5600G e Placa Mãe Biostar B450MH;R$ 1.949,00
320;Cooler Fan Rise Mode Cool Motherboard, 120mm, ARGB, Preto - RM-ARGB-05-5V;R$ 24,99
321;Cooler FAN Rise Mode Galaxy Motherboard 140mm, Led RGB, 12V - RM-MB-04-12V;R$ 29,99
322;Processador Intel I5-12400, 2.5ghz, 18 MB, 6 Núcleos, 12 Threads, LGA 1700 - Bx8071512400;R$ 1.328,00
323;Processador Intel Core i3-10105 10 geração, 3.70 GHz, 6 MB, 4 Núcleos, 8 Threads, Soquete LGA 1200 - Bx8070110105;R$ 839,80
324;Processador Ryzen 7 5700g, AMD, Am4, 3.8 Ghz, 20 MB, com Video - 100-100000263box;R$ 2.248,17
325;"HD WD Blue, 4TB, 5400RPM, Cache 256 MB, 3.5"", SATA - WD40EZAZ";R$ 539,99
326;Cooler Fan Risemode Galaxy RGB RM MB 04;R$ 54,00
327;Hd Wd Purple 6tb 5640 Rpm 3.5´ Sata Cache 128 Mb Wd62purz;R$ 1.469,61
328;Processador Intel Core I3-7100 7a Geração, Kaby Lake 3.9GHz, Socket LGA 1151, Cache 3 MB - BX80677I37100;R$ 599,90
329;Processador Intel 1155 Core I5-3470S, 2.90GHZ, Cache 6 MB, Quad Core, Num de threads 4, LGA1151, Vídeo Integrado - OEM;R$ 266,03
330;Processador AMD Ryzen Threadripper Pro 5975WX, 128 MB, 32 Núcleos, SP3 WOF - 100-100000445WOF;R$ 19.899,99
331;HD Seagate 1TB Barracuda, 6GB/s, Cache: 64 MB, 3.5', SATA - St1000dm010;R$ 316,67
332;Processador Intel Core I3-10105f 6mb 3.7ghz, Cache: 6 MB Threads: 8, 4.4ghz Lga-1200;R$ 609,00
333;Processador Intel Core I5-2400 Desk 1155, 3.10GHz, Cachê  6 MB, 4 Núcleos,  Oem;R$ 206,92
334;Processador Intel Core I5-4570,4a Geração, 3.20GHZ, 6 MB SmartCache, Quad Core, LGA 1150 - OEM;R$ 392,33
335;Fita De Led Akasa Vegas Mb - Rgb - 50cm - Fita Magnética - Ak-ld05-50rb;R$ 85,35
336;"Processador, Desk Intel 1155, Core I7-3770, 3.40GHZ Cache: 8 MB SmartCache N de threads: 8; Oem";R$ 599,96
337;Processador Intel Core I3-3220 3.30 Ghz Cache: 3 MB Nº de threads: 4, 2 Núcleos Ddr3;R$ 229,00
338;Cabo Para Iphone Baseus Usb 1m 2.4a Led 480 Mb / S Com Led;R$ 46,74
339;Motherboard Pcware Mini Atx Ipx3060 E1 Dcr-e 2018/ 17970-0;R$ 507,80
340;Modulo De Bateria Mb 0145 12v;R$ 1.116,26
341;Modulo De Baterias Mb 0609 36v-tw;R$ 1.805,28
342;Modulo De Baterias Mb 0609 36v-rt;R$ 2.255,29
343;Placa Mãe Gigabyte B450m, Ds3h, V2, Am4 Ddr4, HDMI, Microatx;R$ ---
344;Placa Mãe H61 Lga 1155 2ª 3ª B75 Gigabit Usb 3.0 Pc-tech;R$ ---
345;Placa Mãe MSI MAG B660M Mortar, Intel LGA1700, mATX, DDR4 - 911-7D42-010;R$ ---
346;Placa Mae AMD AM4 B450m M.2 4X, DDR4 HDMI/DVI/VGA, B450m Pro4 R2.0, Asrock;R$ ---
347;Placa Mãe Asus Prime B450m Gaming Ii Matx Am4 Ddr4 Dvi Hdmi D-sub Usb 3.1 M.2;R$ ---
348;Placa Mãe Gigabyte H310M M.2 2.0, Chipset H310, Intel LGA 1151, mATX, DDR4;R$ ---
349;Placa Mãe Duex Dx H61z, Intel 2º/3º Geração, Ddr3, Socket Lga1155;R$ ---
350;Placa Mãe Amd Gigabyte B450m Ds3h Ddr4 Am4;R$ ---
351;Placa Mãe Gigabyte B550M Gaming AMD AM4 mATX DDR4 PCIe 4.0;R$ ---
352;Placa Mãe H61 Lga 1155 2ª E 3ª Rd 10x Usb 2xddr3 Pc-tech;R$ ---
353;Placa Mãe Asus Tuf Gaming B450m-plus Ii Am4 Ddr4 Matx;R$ ---
354;Placa Mãe Asrock B450M, Steel Legend, AM4 - 90-MXB9Y0-A0UAYZ;R$ ---
355;Placa Mãe Gigabyte B550 Aorus Elite, Ddr4, Atx, Am4;R$ ---
356;Placa Mae Asus Prime Z690-P DDR5 - 90mb19q0-M0eay0;R$ ---
357;Placa Mãe Gigabyte B550, Aorus Elite V2 Atx DDR4 Am4;R$ ---
358;Placa Mae, Intel 1150 Ih81-ma 2xddr3 Hdmi/vga 4º G Ih81-ma Afox.;R$ ---
359;Placa Mãe Gigabyte B450, Aorus M Amd DDR4, Matx, Socket Am4;R$ ---
360;Placa Mãe H310M, Gigabyte, Intel, LGA 1151, M.2, Micro ATX - H310M-S2P-2.0;R$ ---
361;Placa - Mãe Asrock Intel DDR4 - H510m-hvs;R$ ---
362;Placa Mãe Rog Strix Z590-f Gaming, Wifi, DDR4, Lga1200, 10 e 11 Geração;R$ ---
363;Placa Mae Gigabyte Z590 Aorus Elite Ax 1.0;R$ ---
364;Placa Mãe Desktop 1150 Ddr3 Isync;R$ ---
365;Placa Mãe Biostar A68MHE Pro FM2+;R$ ---
366;Placa Mãe B450m, Gigabyte Gaming, Matx, Amd Am4, Ddr4;R$ ---
367;Placa Mae Intel 1150 H81 2X, DDR3, HDMI/VGA 5ª Geração, H81-355u, Foxconn;R$ ---
368;Placa Mãe Asrock A520m-hdv Amd Am4 Matx Ddr4 - 90-mxbe50-a0uayz;R$ ---
369;Placa Mae ASUS ROG Maximus XII Extreme, 1200, DDR4, M2, EATX;R$ ---
370;Placa Mãe Bluecase Fm2+ Ddr3 16gb Rede Gigabyte Bmba88-a2hg;R$ ---
371;Placa Mãe Asus Rog Strix Z690-g Gaming Wi-fi Intel Soquete Lga 1700;R$ ---
372;Placa Mãe Kazuk LGA 1156 H55 DDR3 8gb HDMI, 1600mhz;R$ ---
373;Placa Mãe Hyperpc H61, Lga 1155, Ddr3,  HDMI E VGA - Tg-h61-303-u/p;R$ ---
374;Placa Mãe Msi A520m-a Pro  Amd Am4 Matx Ddr4 Hdmi Gigalan;R$ ---
375;Placa Mãe Gigabyte Z690 Aorus Ultra;R$ ---
376;Placa Mae Asus Tuf Gaming Z690-Plus, Wi-Fi, DDR5 - 90mb1aw0-M0eay0;R$ ---
377;Placa Mãe Gigabyte X570s Aorus Elite Chipset X570 Amd Am4 Atx Ddr4;R$ ---
378;Placa Mãe Tuf Gaming X570-plus Amd Am4 Atx Ddr4 Asus;R$ ---
379;Placa Mãe Amd Am4 B550m-hdv, M.2 2xddr4 HDMI/DVI-d B550m-hdv Asrock;R$ ---
380;Placa Mãe Gigabyte Z690 Aero D, Wi-Fi, DDR5, ATX, LGA 1700;R$ ---
381;Placa Mãe Biostar H410mh/s2 Chipset H410 Intel Lga 1200 Matx Ddr4;R$ ---
382;Placa Mãe Gigabyte X570s Gaming X Amd Socket Am4, Atx, DDR4;R$ ---
383;Placa Mãe Gigabyte, B365m Gaming HD, Lga1151 DDR4, HDMI;R$ ---
384;Placa Mae Intel 1151 B365m Pro4 4xddr4 9a Geração B365m Pro4 Asrock;R$ ---
385;Placa Mãe Gigabyte Z490 UD, LGA 1200, DDR4, HDMI;R$ ---
386;Placa Mãe Asus Prime H510m-e, Intel Lga 1200, Microatx, DDR4 - 90mb17e0-c1bay0;R$ ---
387;Placa Mãe Gigabyte A320m-s2h, V2, DDR 4, 32GB, Socket, AM4;R$ ---
388;Placa Mãe H81M-HG4 Micro-ATX, para Intel Asrock, DDR3, LGA 1150;R$ ---
389;Placa Mae Asus Tuf B450m Plus Gaming Micro Atx Ddr4 Am4;R$ ---
390;Placa Mãe Amd Am4, B450m-hdv HDMI/DVI/VGA - B450m-hdv Asrock;R$ ---
391;Placa Mae Lga 1151 Ddr4 Ga-h110tn-m Gigabyte - OEM;R$ ---
392;Placa Mae Amd Am4 B450 2xddr4 Hdmi/displayport Fatal1ty B450 Gaming-itx/ac Asrock;R$ ---
393;Placa Mãe Gigabyte Z590i Vision D Lga 1200 Mini-itx Ddr4;R$ ---
394;Placa Mãe Asrock X570 Steel Legend Am4 Rgb Atx - X570-steel-legend;R$ ---
395;Placa Mae (amd) Asus Prime B450m-gaming/br Ddr4 Am4;R$ ---
396;Placa Mãe Msi Mag Z590 Tomahawk Wifi, Intel Lga 1200, Atx, DDR4;R$ ---
397;Placa Mãe, Asus AM3+ M5A78l-M LX3, Oem;R$ ---
398;Placa Mãe Asus H110m-cs, Intel 6/7ª Geração, Ddr4, Lga1151;R$ ---
399;Placa Mae AMD AM4 A520 M.2 4X, DDR4, HDMI/VGA/displayport, A520m-a Ii, Asus;R$ ---
400;Placa Mãe H81, Lga1150,1066/1333mhz - Pc-tech;R$ ---
401;Placa Mae, Asus, Rog Strix Z690-a Intel 12ger, 90mb18k0m0eay0i;R$ ---
402;Placa Mãe Gigabyte B550m H, AMD Am4 DDR4 Micro Atx Rev 1.0 - B550m-h;R$ ---
403;Placa Mãe Gigabyte H470i Aorus Pro Ax Lga1200 Mini Itx Wifi Ddr4 - 9mh47arsi-00-10;R$ ---
404;Placa Mãe H310, Afox Ih310c-ma6-v2 (lga1151/DDR4/VGA/HDMI/m-atx);R$ ---
405;Placa Mãe Asus Pro WS WRX80E-SAGE SE WIFI - 90MB1590-M0EAY0;R$ ---
406;Placa Mãe Gigabyte H110m-s2v, Intel, Socket Lga 1151, DDR4;R$ ---
407;Placa Mãe Para Intel Celeron Integrado, DDR3L, Mini ITX, Asus, J1800I-C/BR;R$ ---
408;Placa Mae Intel 1150 Ih81-ma 2xddr3 Hdmi/vga 4º G Ih81-ma Afox;R$ ---
409;Placa Mae Intel 1156 H55-ma 2xddr3 Vga/hdmi 1ª Geraçao Gl-h55-ma Goline;R$ ---
410;Placa Mãe LGA 1200 Z490 M Gaming, DDR4, HDMI, Gigabyte;R$ ---
411;Placa Mãe H81 Brx Intel Lga 1150 Ddr3 Vga Hdmi Brx-h81 - Brx;R$ ---
412;Placa Mãe Gigabyte Z490 Gaming X Lga1200 Ddr4 Hdmi Atx;R$ ---
413;Placa Mãe Afox H61 Intel Ddr3 Lga 1155 Ih61-ma2-v2 I3/i5/i7;R$ ---
414;Placa Mãe Gigabyte X570s Aorus Elite Ax, Ddr4, Atx, Am4;R$ ---
415;Placa Mae Gigabyte Z590 Vision G 1.0;R$ ---
416;Placa Mãe Goldentec G41 (lga 775 DDR3) - Chipset Intel G41 - Gt43766;R$ ---
417;Placa Mae Intel 1151 B365m Pro4-f M.2 Pcie 4xddr4 9 Geraçao B365m Pro4-f Asrock;R$ ---
418;Placa Mãe Gigabyte B450m, DS3h, Wi-Fi, AM4, DDR4;R$ ---
419;Placa Mãe Msi Mag B660m Mortar Wifi;R$ ---
420;Placa Mae Gigabyte  Z590 Aorus Ultra 1.0;R$ ---
421;Placa Mãe Asus Z690-g Rog Strix Gaming Wifi - 90mb19g0-m0aay0;R$ ---
422;Placa Mãe Gigabyte B560m Ds3h V2 Lga1200 10/11g Matx DDR4;R$ ---
423;Placa Mãe H470, Gigabyte, Intel, Aorus Pro Ax, Ddr4, Lga 1200;R$ ---
424;Placa Mãe Msi Pro Z690-a, Lga 1700, Atx, Ddr5 - Pro Z690-a;R$ ---
425;Placa Mãe Pcware Ipmh510g, Intel 10ª/11ª Geração, Lga1200, Ddr4, Micro Atx, Oem;R$ ---
426;Placa Mãe Gigabyte A520m S2h Amd Am4 Ddr4;R$ ---
427;Placa Mãe Duex Dx H61Z, Intel 2º/3º Geração, DDR3, Socket Lga1155;R$ ---
428;Placa Mãe Asrock B460 Steel Legend Lga 1200 Atx Ddr4 Hdmi Displayport 2x Pcie M.2 Usb3.2 Rgb Sync 90-mxbcq0-a0uayz;R$ ---
429;Placa Mãe Tg-h61-s Intel  - Lga1155 Ddr3 Oem;R$ ---
430;Placa Mãe Gigabyte B660 Aorus Master, DDR5, Atx, Lga1700;R$ ---
431;Placa Mae Z690 Ud Ax DDR4 Lga 1700 Atx Ax201ngw Gigabyte.;R$ ---
432;Placa Mãe Asus TUF GAMING B560M-PLUS WIFI, Intel LGA1200, microATX, DDR4 - 90MB1770-M0EAY0;R$ ---
433;Placa Mãe Gigabyte Z690 Aorus Ultra, DDR 5, ATX, LGA1700;R$ ---
434;Placa Mãe Gigabyte, Micro ATX H410M H, Intel 10a Geração, DDR4;R$ ---
435;Placa Mae Intel 1155 H61-ma 2xddr3 Hdmi/vga 3ª Geraçao Gl-h61-ma Goline;R$ ---
436;Placa Mãe, Pcware, 1151 IPMH310G PRO, Oem;R$ ---
437;Placa Mãe Pcware H510g Intel 1200 DDR4;R$ ---
438;Placa Mãe Goline Gl-h110-m2 Socket Lga 1151 / VGA/ DDR4;R$ ---
439;Placa Mãe Desktop 1150 Cyb-21-eh81 DDR3 16GB Isync;R$ ---
440;Placa Mãe Asus Prime H610m-e D4, Intel Lga1700, DDR4, Micro Atx;R$ ---
441;Placa Mae H81 Lga1150 i3/i5/i7/Celeron/Pentium, 2 Slots Ddr3, 1 Slot Pci Express X16, 2 Usb 3.0 Kp-h81 Knup;R$ ---
442;Placa Mãe BRX Tg-h61-s, Intel 2ª E 3ª Geração, LGA1155, DDR3;R$ ---
443;Placa Mãe Gigabyte Z690 Aorus Elite, Ddr4, Atx, Lga1700.;R$ ---
444;Placa Mãe Gigabyte B660 Aorus Master D4, DDR4, ATX, LGA1700;R$ ---
445;Placa Mãe Gigabyte, A320m S2h Am4, DDR4 Dvi USB 3.1 HDMI - Ga-a320m-s2h;R$ ---
446;Placa Mãe Asus Tuf Gaming Z690-Plus - 90mb1av0-M0eay0;R$ ---
447;Placa Mãe Brazilpc Fm2+ Bpc-a88-f2f DDR3 Vga HDMI Oem;R$ ---
448;Placa Mãe Gigabyte B660i Aorus Pro D4, Wi-fi, DDR4, Itx - Lga1700;R$ ---
449;Placa Mãe Asus Tuf Gaming X570 Pro, Wi-Fi, DDR4, ATX, AM4;R$ ---
450;Placa Mãe, Asus H610m-d Prime, DDR4, Micro-atx, LGA1200;R$ ---
451;Placa Mãe Gigabyte Ga-imb4005tn-m Celeron Dual Core Ddr4 - Gigabyte;R$ ---
452;Placa Mae Intel 1156, H55-ma 2xDDR3 Vga/hdmi, 1ª Geraçao, Gl-h55-ma Goline.;R$ ---
453;Placa Mãe Mini-Itx Ipx40050g Pro Processador J4005 2.0Ghz Integrado Ddr4 Sodimm, 2Xusb 3.0 2Xusb 2.0 Placa Mãe Mini-Itx Ipx40050g Pro Processador J4005 2.0Ghz Integrado Ddr4 Sodimm. 2Xusb 3.0 2Xusb 2.0;R$ ---
454;Placa Mãe AsRock B550M Steel Legend, mATX, AM4, DDR4, HDMI - 90-MXBCU0-A0UAYZ;R$ ---
455;Placa Mãe Asrock H410M-HVS, LGA 1200, mATX, DDR4, HDMI, VGA, USB 3.2 - 90-MXBDC0-A0UAYZ;R$ ---
456;Placa Mae LGA 1155 DDR3 HDMI TCN H61 X-Linne;R$ ---
457;Placa Mae LGA 1151 DDR4 GA-H110M-S2V Gigabyte;R$ ---
458;Placa Mãe Gigabyte AMD FM2+, Fm2, DDR3, USB3 - GA-F2A68HM-S1;R$ ---
459;Placa Mãe Afox H110, DDR3, LGA1151 - IH110-MA7-V2;R$ ---
460;Placa Mãe Asrock AM3, DDR3 - 760GM-HD;R$ ---
461;Placa Mãe Asrock para AMD FM2A68M-HD+ R2.0 Fm2+;R$ ---
462;Placa Mãe TCN Intel G41, DDR3, LGA 775, X-Linne;R$ ---
463;Placa Mãe Pcware Ipx1800e2, Ddr3/l So-dimm, Intel J1800 Integrada, Hdmi E M-Sata;R$ ---
464;Placa Mae Gigabyte B560m Aorus Pro 1.0;R$ ---
465;Placa Mãe Gigabyte, B560m Ds3h DDR4 Matx Lga 1200 10ª/11ªg;R$ ---
466;Placa Mae Servidor Intel Gigabyte C246m-wu4 Xeon E-2000 Lga1151 Ddr4 Ecc Udimm Chipset C246;R$ ---
467;Placa Mae Servidor Intel S2600stbr Dual Xeon Ddr4 Lga3647;R$ ---
468;Placa Mae Integrada J1800MH2 Biostar;R$ ---
469;Placa Mae, LGA, 1151, DDR3, H110, 16GB, Rede 10/100/1000, Bluecase;R$ ---
470;Placa Mae Asrock Mini Itx - D1800b-itx - Com Intel Celeron Dual-core;R$ ---
471;Placa Mae Lga 1151 Ws C246 Pro Asus;R$ ---
472;Placa Mãe Asus Prime B550M-A AMD AM4 mATX DDR4 - 90MB14I0-M0EAY0;R$ ---
473;Placa Mãe Galax B450M INTEL Socket AM4 M-ATX - IB460MAGBAY1CW;R$ ---
474;Placa Mãe Asus Tuf Gaming B550m-plus, Amd Am4, Ddr4, Matx;R$ ---
475;Placa Mãe Asus Tuf Gaming Z490-plus, Intel Decima Geração, Ddr4, Lga 1200 - 90mb1340-c1bay0;R$ ---
476;Placa Mãe Brx H81, Intel Quarta Geração, Ddr3, Lga1150;R$ ---
477;Placa Mae,Asrock, LGA, Am3,+ 760GM-HD;R$ ---
478;Placa Mãe, Gigabyte, LGA, AM4,  A320M-H (DDR4/M-ATX/AM4/DVI-D/HDMI);R$ ---
479;Placa Mãe Pcware Ipmh110g Intel - Ddr3 Lga1151;R$ ---
480;Placa Mãe I3  I5 I7 Asus H81m-k S V R 4ª Geração;R$ ---
481;Placa Mae P/intel Brazilpc Bpc-h55m-v1 Lga1156 Oem;R$ ---
482;Placa Mãe BMBH-D, Box, DDR3, 1155P, rede 10,100,1000 16GB, VGA, HDMI - Bluecase;R$ ---
483;Placa Mãe Kazuk 1155;R$ ---
484;Placa Mãe, Lenovo,  Ideapad, 320-15iap - Celeron Ddr3l Nm-b301;R$ ---
485;Placa Mãe Lenovo T430u Vilt3 Nzm4h-7 Em;R$ ---
486;Placa Mae Lenovo Thinkpad T480 Core I5-8350u Et480 Nm-b501;R$ ---
487;Placa Mae Bluecase Bmbf68-d Bulk Ddr3 Fm2+ Rede 10/100/1000;R$ ---
488;Placa Mae Duex Dx H61gs, 1155 Ddr3, Vga Hdmi;R$ ---
489;Placa Mae Brazilpc 1156 Bpc-h55kfl Ddr3 Hdmi Vga OEM;R$ ---
490;Placa Mae Brazilpc Fm2+ Bpc-a88m-g V2.1 Ddr3 Vga/hdmi;R$ ---
491;Placa Mae Duex Intel Lga 1150, Ddr3, Dx H81m;R$ ---
492;Placa Mãe Ght Zx-h61c v2.3, Intel 2a/3a Geração, Ddr3, Lga1155;R$ ---
